name,cases,year
Ar Riyad,562,2019
Makkah,1367,2019
Al Madinah,181,2019
Al Quassim,131,2019
Ash Sharqiyah,591,2019
Asir,217,2019
Tabuk,32,2019
Ha'il,20,2019
Al Hudud ash Shamaliyah,17,2019
Jizan,94,2019
Najran,80,2019
Al Bahah,56,2019
Al Jawf,26,2019
Ar Riyad,535,2020
Makkah,683,2020
Al Madinah,85,2020
Al Quassim,58,2020
Ash Sharqiyah,357,2020
Asir,106,2020
Tabuk,47,2020
Ha'il,21,2020
Al Hudud ash Shamaliyah,12,2020
Jizan,39,2020
Najran,43,2020
Al Bahah,38,2020
Al Jawf,7,2020
Ar Riyad,518,2021
Makkah,655,2021
Al Madinah,54,2021
Al Quassim,95,2021
Ash Sharqiyah,303,2021
Asir,127,2021
Tabuk,31,2021
Ha'il,25,2021
Al Hudud ash Shamaliyah,10,2021
Jizan,53,2021
Najran,36,2021
Al Bahah,47,2021
Al Jawf,6,2021
Ar Riyad,183,2022
Makkah,780,2022
Al Madinah,23,2022
Al Quassim,29,2022
Ash Sharqiyah,190,2022
Asir,74,2022
Tabuk,8,2022
Ha'il,9,2022
Al Hudud ash Shamaliyah,21,2022
Jizan,116,2022
Najran,3,2022
Al Bahah,20,2022
Al Jawf,8,2022