regions,year,cases
Makkah,2019,1395
Makkah,2020,683
Makkah,2021,655
Makkah,2022,780
Asir,2019,217
Asir,2020,106
Asir,2021,127
Asir,2022,74
Al Jawf,2019,26
Al Jawf,2020,7
Al Jawf,2021,6
Al Jawf,2022,8
Eastern Province,2019,591
Eastern Province,2020,357
Eastern Province,2021,303
Eastern Province,2022,190
Al Bahah,2019,56
Al Bahah,2020,38
Al Bahah,2021,47
Al Bahah,2022,20
Hail,2019,20
Hail,2020,21
Hail,2021,25
Hail,2022,9
Madinah,2019,181
Madinah,2020,85
Madinah,2021,54
Madinah,2022,23
Najran,2019,80
Najran,2020,43
Najran,2021,36
Najran,2022,3
Northern Borders,2019,17
Northern Borders,2020,12
Northern Borders,2021,10
Northern Borders,2022,21
Qassim,2019,131
Qassim,2020,58
Qassim,2021,95
Qassim,2022,29
Riyadh,2019,562
Riyadh,2020,535
Riyadh,2021,518
Riyadh,2022,183
Tabuk,2019,32
Tabuk,2020,47
Tabuk,2021,31
Tabuk,2022,8
Jazan,2019,94
Jazan,2020,39
Jazan,2021,53
Jazan,2022,116